id,県,塾名,運営会社,窓口種別,宛先,確認したページURL,営業お断り表記の有無,中学生コースの有無,教室数,一言メモ,状態
BTWO-001,chiba,さくら進学塾,,form,https://www.sakurashingaku.com/jyuku/mail/,https://www.sakurashingaku.com/jyuku/mail/,無,有,,千葉・船橋など公立上位校の受験専門と掲げる(個人塾),未着手
BTWO-002,chiba,Vision進学塾,,form,https://vision-jyuku.com/vision_inquiry/,https://vision-jyuku.com/vision_inquiry/,無,有,,本八幡の進学塾で問い合わせフォームに校舎選択欄がある,未着手
BTWO-003,chiba,Brain進学塾,,form,https://www.brain-shingaku.com/access.html,https://www.brain-shingaku.com/access.html,無,有,1,千葉市若葉区で中学・高校受験に強い塾と掲げる,未着手
BTWO-004,chiba,学習塾 本塾,株式会社コプレ,form,https://honjyuku.com/contact/,https://honjyuku.com/contact/,無,有,,千葉県立入試の内申点オール3で受験できる高校を解説するページがある,未着手
BTWO-005,chiba,教育プラザ,,form,https://www.kyoupla.com/requestform,https://www.kyoupla.com/requestform,無,有,2,蘇我と都賀の2教室で問い合わせ項目に「高校受験について」がある,未着手
BTWO-006,chiba,学習塾 Dream,,form,https://juku-dream.com/contact/,https://juku-dream.com/contact/,無,有,1,松戸市八ケ崎の塾で定期テスト対策と受験対策を取り入れると記載,未着手
BTWO-007,chiba,東葛MAXゼミナール,,form,https://www.toukatu-max.com/contact/index.html,https://www.toukatu-max.com/contact/index.html,無,有,1,南流山教室(本部)で中学生コースがある,未着手
BTWO-008,chiba,創学舎,株式会社アガトス,form,https://sougakusya.com/contact/,https://sougakusya.com/contact/,無,有,8,柏・我孫子・流山エリアに8教室で中学部のページがある,未着手
BTWO-009,chiba,筑波塾,,form,https://tsukubajuku.com/contact-input/,https://tsukubajuku.com/contact-input/,無,有,1,柏教室で「5教科授業 県立高校受験」を掲げる,未着手
BTWO-010,chiba,修学舎,有限会社修学舎,form,https://k-shugakusha.com/contact/,https://k-shugakusha.com/contact/,無,有,1,中学3年生を対象に学力・目標別のクラス編成授業を行うと記載,未着手
BTWO-011,chiba,総合学習塾SCHOLAR,,form,https://scholar-sch.com/contact,https://scholar-sch.com/contact,無,有,1,中学集団授業は千葉県公立高校受験での合格を目指すものと記載,未着手
BTWO-012,chiba,中島塾,,form,https://nakajima-juku.jp/contact/,https://nakajima-juku.jp/contact/,無,有,1,成田市で定期テスト対策と高校受験対策に注力すると記載,未着手
BTWO-013,chiba,進学塾With,,form,https://shingakujuku-with.com/contact/,https://shingakujuku-with.com/contact/,無,有,2,中学生は週3日5科目の授業(おゆみ野教室・ちはら台校),未着手
