id,県,塾名,運営会社,窓口種別,宛先,確認したページURL,営業お断り表記の有無,中学生コースの有無,教室数,一言メモ,状態
BONE-001,osaka,ローラン教育学院,,form,https://www.loran-net.com/mailform/,https://www.loran-net.com/mailform/,無,有,,公立中学校に通う生徒向けの基本コースで学校別の定期テスト対策があると記載(大東市),未着手
BONE-002,osaka,イーエス個別ゼミナール,,form,https://es-seminar.com/%e3%81%8a%e5%95%8f%e5%90%88%e3%81%9b/,https://es-seminar.com/%e3%81%8a%e5%95%8f%e5%90%88%e3%81%9b/,無,有,,地域に特化したカリキュラムで内申点アップに直結する指導を行うと記載(松原市・堺市),未着手
BONE-003,osaka,みらい個別,,form,https://mirai-kobetsu.com/contact,https://mirai-kobetsu.com/contact,無,有,,中学生向けに中学校別「無料」5科テスト対策コースがある(茨木市・高槻市),未着手
BONE-004,osaka,対面式個別指導ステップアップ,株式会社スリーピース,form,https://stepup-kobetsu.com/contact.php,https://stepup-kobetsu.com/contact.php,無,有,,中3生対象の五ツ木模試対策(お申込み受付)のお知らせがある(大阪市),未着手
BONE-005,osaka,TKT個別指導塾,,form,https://tkt-juku.com/contact/,https://tkt-juku.com/contact/,無,有,,中学生コースに定期テスト対策・高校入試対策と記載(堺市堺区),未着手
BONE-006,osaka,堺予備校,,form,https://yobiko1587.com/contact/,https://yobiko1587.com/contact/,無,有,,1学年1クラスの少人数制で公立・私立高校受験に向けた授業を行うと記載(堺市西区),未着手
BONE-007,osaka,関進ゼミ,,form,https://www.kanshin-semi.com/contact/,https://www.kanshin-semi.com/contact/,無,有,,泉ヶ丘教室に中学部(高校受験コース)がある(堺市),未着手
BONE-008,osaka,英知ゼミ,,form,https://eichi-zemi.com/contact,https://eichi-zemi.com/contact,無,有,,中3レギュラーコースの募集状況を掲載(東大阪市),未着手
BONE-009,osaka,かいりつゼミ,,form,https://tokkunkobetu.jimdofree.com/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B/,https://tokkunkobetu.jimdofree.com/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B/,無,有,,2026年冬期講習(12/22〜1/7)と中3対象の入試講習(11/3〜)の期間を掲載(堺市堺区),未着手
BONE-010,osaka,円現塾,,form,https://engenjuku.com/inquiry/,https://engenjuku.com/inquiry/,無,有,,大阪公立高校の偏差値と合格ラインの最新版を公開中と掲載(都島区・天王寺区),未着手
BONE-011,osaka,友学園,,form,https://tomogaku.co.jp/page-63/page-143,https://tomogaku.co.jp/page-63/page-143,無,有,,大阪府公立高校入試C問題のリスニング・ライティング比率の変化に触れた記事がある(守口市),未着手
BONE-012,osaka,阪神個別学習院,,form,https://www.hanshinkobetsu.com/contact/,https://www.hanshinkobetsu.com/contact/,無,有,,冬期講習会(2期申込)受付中のお知らせ(2025/12/09)がある(大阪市),未着手
BONE-013,osaka,プロ進学塾,,form,https://www.pro-juku.net/contact,https://www.pro-juku.net/contact,無,有,,中学校での定期テストの成績アップ・実力養成にこだわると記載(堺市),未着手
BONE-014,osaka,愛知ゼミナール個別指導塾,,form,https://aitizemi.com/contact/,https://aitizemi.com/contact/,無,有,,大阪府公立高校入試の内申点・偏差値・合格最低点の一覧ページがある(豊中市),未着手
BONE-015,osaka,個別指導塾ウイズ,千里丘観光開発株式会社,mail,juku-with@senrioka.co.jp,https://juku-with.com/contact,無,有,,2026年春の公立高校全員合格の実績と定期テスト・評定対策を掲載(吹田市),未着手
BONE-016,osaka,フォーインワンゼミナール,,form,https://4in1.jp/contact/,https://4in1.jp/contact/,無,有,,地域の学校に完全対応の一斉クラスで定期テスト対策や日曜補習は無料と記載(門真市),未着手
BONE-017,osaka,個別学習塾Wing,,form,https://www.winggr.com/%E3%81%8A%E5%95%8F%E5%90%88%E3%81%9B-%E5%AE%9F%E7%B8%BE%E7%B4%B9%E4%BB%8B/,https://www.winggr.com/%E3%81%8A%E5%95%8F%E5%90%88%E3%81%9B-%E5%AE%9F%E7%B8%BE%E7%B4%B9%E4%BB%8B/,無,有,3,5科計400点以上を目指す中学生コースがある(茨木市)。注意:フォームに「営業電話はご遠慮ください。営業はお問い合わせフォームからお願いします」との記載(フォーム経由は可と読める),未着手
BONE-018,osaka,英伸スクール,,form,https://eishin-school.com/contact,https://eishin-school.com/contact,無,有,1,中学3年生は志望校に合格するための対策を行うと記載(羽曳野市),未着手
BONE-019,osaka,英数セミナー,,form,https://eisusemi.com/%e3%81%8a%e5%95%8f%e3%81%84%e5%90%88%e3%82%8f%e3%81%9b/,https://eisusemi.com/%e3%81%8a%e5%95%8f%e3%81%84%e5%90%88%e3%82%8f%e3%81%9b/,無,有,,生徒1名の中学生クラスは完全個別1対1の対面指導と記載(摂津市),未着手
BONE-020,osaka,啓明塾,,form,https://keimei-juku.com/contact,https://keimei-juku.com/contact,無,有,,2026年公立高校入試結果と冬期講習募集のお知らせを掲載(羽曳野市),未着手
BONE-021,osaka,個別指導シグマ,,form,https://k-sigma.net/wp/contact/form_01/,https://k-sigma.net/wp/contact/form_01/,無,有,20,2026年『大阪府公立高校』学校別の個別進学相談会の開催告知がある(吹田市ほか北摂・大阪市),未着手
BONE-022,osaka,創大学院,,form,https://soudaigakuin.com/contact,https://soudaigakuin.com/contact,無,有,6,「内申点に直結する定期テスト対策」と記載(大東市・交野市・寝屋川市・四條畷市・門真市),未着手
BONE-023,osaka,スクールMIO,,form,https://s-mio.jp/contact/,https://s-mio.jp/contact/,無,有,3,「大阪府公立高校のC問題入試対策、B問題入試対策を万全に行います」と記載(堺市・泉佐野市ほか),未着手
BONE-024,osaka,田中塾,,form,https://tanakajuku.com/contact,https://tanakajuku.com/contact,無,有,,令和10年度の高校入試から公立高校の変更点があるとの案内を掲載(松原市),未着手
BONE-025,osaka,学習塾ドリーム・チーム,株式会社ドリーム・チーム,form,https://dr-t-eam.jp/inquiry,https://dr-t-eam.jp/inquiry,無,有,,「1中学校専門塾」として中学部を置くと記載(大阪市),未着手
BONE-026,osaka,みのり学院,,form,http://www.minorigakuin.com/contact/mail.cgi?id=inquiry,http://www.minorigakuin.com/contact/mail.cgi?id=inquiry,無,有,,募集要項に中学生の項目がある(富田林市),未着手
BONE-027,osaka,大阪栄光学園,株式会社大阪栄光学園,form,https://eikogakuen.co.jp/access/,https://eikogakuen.co.jp/access/,無,有,,中学生の高校受験対策講座や定期テスト前の攻略リストの記事を掲載(阪南市),未着手
BONE-028,osaka,GrowrY(グローリー),,form,https://growry.net/access/,https://growry.net/access/,無,有,2,中学生講座のページがある(摂津市・吹田市),未着手
BONE-029,osaka,つかさ塾,"TSUKASA Co., Ltd.",form,https://www.tsukasa-jyuku.com/contact,https://www.tsukasa-jyuku.com/contact,無,有,3,中学1〜3年生向けコースが複数掲載されている(守口市・門真市・寝屋川市),未着手
BONE-030,osaka,アーク進学会,ARC EDU株式会社,form,https://www.arc-edu.com/contact_form/,https://www.arc-edu.com/contact_form/,無,有,8,中学生向けに複数コースを設定(都島・鶴見・寝屋川・阿倍野ほか),未着手
BONE-031,osaka,大東志塾,一般社団法人 大東志塾,form,https://daito-shijuku.com/contact/,https://daito-shijuku.com/contact/,有,有,,お問い合わせページに「営業でのお問い合わせはご遠慮ください。」と記載のため除外,除外
BONE-032,osaka,京大学館,,form,https://kyodai-gakkan.com/contact/,https://kyodai-gakkan.com/contact/,有,,,サイトに「営業電話はお断りしてます」との記載のため除外(高槻市),除外
BONE-033,osaka,未来アカデミー,,,,https://miraimirai.jp/,無,有,,公開メール・問い合わせフォームが確認できず(LINE・電話のみ。メールは個人情報窓口のみ)のため除外(堺市堺区),除外
BONE-034,osaka,フォーエムグループ,,,,https://www.minerva-gakuin.net/contact/,無,有,6,お問い合わせフォームを停止中で電話案内のみのため除外,除外
BONE-035,osaka,立志館ゼミナール,,,,https://kou-juken.risshikan.jp/,,有,,一般の問い合わせフォームが未確認(Web申込・資料請求・各校問い合わせのみ確認),要確認
BONE-036,osaka,アシスト学習塾,,,,https://assist-edu.com/reference,,有,,体験・資料請求フォームとLINEのみで一般の問い合わせ窓口が未確認(吹田市),要確認
BONE-037,osaka,進学塾Rex,,form,https://sgj-rex.jp/consultation/,https://sgj-rex.jp/consultation/,,有,,窓口が個別相談申込フォームのみで用途限定の可能性があるため要確認(大阪市),要確認
BONE-038,osaka,進栄セミナー,,,,https://shinei-seminar.jp/inquiries,,有,2,お問い合わせページは体験申込・資料請求ボタンへの遷移のみで問い合わせフォームURLが未確認(守口市),要確認
BONE-039,osaka,平成寺子屋,,form,https://ssl.form-mailer.jp/fms/300e9d60476984,https://ssl.form-mailer.jp/fms/300e9d60476984,,有,,窓口が「応募フォーム」で用途が不明。メールは(at)表記で宛先にせず(東淀川区・東住吉区・東大阪市),要確認
BONE-040,osaka,(塾名未確認 koshin-semi.jp),,,,http://koshin-semi.jp/,,,,WebFetchで証明書エラー(共用証明書)のため取得できず,確認不可（証明書エラー）
BONE-041,osaka,(塾名未確認 sanma-education.com),,,,http://sanma-education.com/,,,,WebFetchで証明書エラー(共用証明書)のため取得できず,確認不可（証明書エラー）
