id,県,塾名,運営会社,窓口種別,宛先,確認したページURL,営業お断り表記の有無,中学生コースの有無,教室数,一言メモ,状態
TKYB-001,tokyo,本多セミナー,,mail,honda@honda-seminar.com,https://www.honda-seminar.com/info_mail.html,無,有,,中学生・高校生の部で、クラス指導は中1〜3を通じて都立受験を意識した授業を行い内申点のアップを図ると記載,未着手
TKYB-002,tokyo,西荻塾,,form,https://nishiogi-juku.jp/contacts/,https://nishiogi-juku.jp/contacts/,無,有,,都立高合格率90%超をうたい、内申点・倍率を素材に合否ラインを推計して指導すると記載,未着手
TKYB-003,tokyo,ひのき進学教室,株式会社ひのき会,form,https://www.hinoki-net.com/contact/consultation.php,https://www.hinoki-net.com/contact/consultation.php,無,有,6,中学生コースに内申点アップ・定期テスト対策があり、中3は第一志望校に絞った合格プランを組むと記載,未着手
TKYB-004,tokyo,みらい創研ゼミナール,,form,https://miraisoken.jp/contact/inquiry/,https://miraisoken.jp/contact/inquiry/,無,有,,中学1年生〜中学3年生のコースがある限定個別指導塾,未着手
TKYB-005,tokyo,進塾,,form,https://susumujyuku.net/,https://susumujyuku.net/,無,有,,高校受験では「3年1学期」の内申点が最も大切と記載し、冬期講習は前期5日間・後期の日程を掲載,未着手
TKYB-006,tokyo,品川海風塾,,form,http://www.kaifujyuku.jp/contact/,http://www.kaifujyuku.jp/contact/,無,有,,中学生は推薦入試合格を目指し、内申点(通知表)を上げるため全員5教科必修と記載,未着手
TKYB-007,tokyo,木谷塾,,form,https://kiyajuku.com/contact/,https://kiyajuku.com/contact/,無,有,,新着情報で、都立高校入試の内申点と学力点の割合が変わる見込みを解説している,未着手
TKYB-008,tokyo,いずみ学習教室,,form,https://izumi-gakusyu.net/contact/,https://izumi-gakusyu.net/contact/,無,有,,中学2・3年Dクラスは難関私立高校・都立独自入試合格授業と記載し、内申対策にも力を入れるとある,未着手
TKYB-009,tokyo,アモス塾,,form,https://amosjuku.com/contact/,https://amosjuku.com/contact/,無,有,,中学生向けに高校受験を見据えた内申・定期テスト対策を掲載,未着手
TKYB-010,tokyo,いぶき学院,,form,https://ibukigakuin.co.jp/otoiawase.html,https://ibukigakuin.co.jp/otoiawase.html,無,有,,高校受験決起会(中3春)を実施し、都立高校推薦入試に関する記事を掲載,未着手
TKYB-011,tokyo,太陽学院,,mail,info@beck-tns.jp,https://beck-tns.jp/,無,有,,中学生の受験指導に都立高校入試突破クラスがあり、内申点を向上させる指導を行うと記載,未着手
TKYB-012,tokyo,進学院Ties,,form,https://ties-sg.com/contact,https://ties-sg.com/contact,無,有,,近隣中学校の定期テスト対策・内申対策、都立入試対策に特に力を入れると記載,未着手
TKYB-013,tokyo,個別指導あすなろ,,form,http://asunaro-school.com/?page_id=276,http://asunaro-school.com/?page_id=276,無,有,,内申点アップ・偏差値アップにこだわると記載し、冬期講習の受付中を掲載,未着手
TKYB-014,tokyo,みなと学院,,form,https://minatokujuku.com/inquire/,https://minatokujuku.com/inquire/,無,有,,コースに高校受験特訓コースがあり、都立高校推薦合格は内申点が大切と記載,未着手
TKYB-015,tokyo,個別指導エール,,mail,info@yell.sunnyday.jp,http://yell-takanawa.com/access.html,無,有,2,中学生は全9教科指導で高校受験の作文・面接指導があり、季節講習はなしと記載,未着手
TKYB-016,tokyo,竹の会,,form,https://takenokai.net/contact/,https://takenokai.net/contact/,無,有,,渋谷で創立40年、都立中・都立高の受験対策をうたう,未着手
TKYB-017,tokyo,フレンズアップ,合同会社フレンズアップ,form,https://friendsup.jp/contact,https://friendsup.jp/contact,無,有,,都立受験の基礎知識として試験方法と内申点を解説するブログ連載がある,未着手
TKYB-018,tokyo,TANOSAN個別指導教室,,mail,info@tanosan.net,https://tanosan.net/about/introduction/,無,有,,中学生コースに内申・受験対策コースと都立自校作成校コースがある,未着手
TKYB-019,tokyo,武蔵野進学セミナー,,form,https://www.musashino-s.com/contactform/,https://www.musashino-s.com/contactform/,無,有,,都立高校入試に実績があり、定期テスト対策授業で内申点対策も手厚いと記載,未着手
TKYB-020,tokyo,個別指導きみの塾,,form,https://kiminojyuku.com/,https://kiminojyuku.com/,無,有,,指導目的に定期テスト対策・内申点対策・都立高校/私立高校受験対策と記載,未着手
TKYB-021,tokyo,進学教室ONE,株式会社進学教室ONE,form,https://shingaku1one.com/contact/,https://shingaku1one.com/contact/,無,有,,都立を第一志望とするなら本番以前に内申点を取る必要があると記載,未着手
TKYB-022,tokyo,第一ゼミナール,株式会社ディーワン,form,https://d1zemi.com/contact/,https://d1zemi.com/contact/,無,有,2,中学生向けに内申点対策から志望校選びまで対応し、都立・私立の出題傾向も提供すると記載,未着手
TKYB-023,tokyo,武蔵野個別指導塾,,mail,musashinokobetu.daily@gmail.com,https://www.musasinokobetu.com/company_profile/,無,有,,中学生コースに内申点UPから定期試験・高校受験対策があると記載,未着手
TKYB-024,tokyo,フィールドアトラクションズ,,form,https://field-attractions.net/contact,https://field-attractions.net/contact,無,有,,2026年高校入試の合格として都立立川高校3名・戸山高校1名・国分寺高校4名を掲載し、中学生コースがある,未着手
TKYB-025,tokyo,学習塾Canpass,合同会社キャンパス,form,https://canpass-class.com/%e3%81%8a%e5%95%8f%e3%81%84%e5%90%88%e3%82%8f%e3%81%9b-2/,https://canpass-class.com/%e3%81%8a%e5%95%8f%e3%81%84%e5%90%88%e3%82%8f%e3%81%9b-2/,無,有,,中学生の個別指導の案内があり、都立国分寺高等学校校長との教育対談を掲載,未着手
