id,県,塾名,運営会社,窓口種別,宛先,確認したページURL,営業お断り表記の有無,中学生コースの有無,教室数,一言メモ,状態
KNGA-001,kanagawa,横浜WIP,株式会社ネクサス,mail,info@y-wip.jp,https://y-wip.jp/company/,無,有,,トップのタイトルに「内申点も受験も万全に」とあり、中学生向け個別指導・少人数制授業のコースがある,未着手
KNGA-002,kanagawa,桐林学園予備校,桐林学園予備校,form,https://torin-gakuen.com/contact.html,https://torin-gakuen.com/contact.html,無,有,,会社概要ページに特色検査対策・公立高校入試学力検査に向けた授業の記載がある(川崎区),未着手
KNGA-003,kanagawa,BREST/FULLMARKS(ブレストグループ),株式会社ブレストインキュベーション,form,https://juku.brest.co.jp/mailform/,https://juku.brest.co.jp/mailform/,無,有,,中学生(中1〜3)クラスの案内ページがあり、フォームの問い合わせ内容に季節講習の日程が含まれる(都筑区・港北区など),未着手
KNGA-004,kanagawa,青葉学院,創栄青葉有限会社,form,https://www.aobagakuin.com/contact/,https://www.aobagakuin.com/contact/,無,有,,JR中山駅前の学習塾で、フォームのご希望コースに「中学生」の選択肢がある,未着手
KNGA-005,kanagawa,横浜チュータリングスクール,株式会社キッズ・ドリーム,form,https://www.y-ts.jp/contact,https://www.y-ts.jp/contact,無,有,2,夏期・冬期・春期講習は任意選択で必要最低限に、と案内している(鶴見区の尻手駅前校・鶴見諏訪坂校),未着手
KNGA-006,kanagawa,神奈川ゼミナール,,form,http://kana-zemi.com/contact/,http://kana-zemi.com/contact/,無,有,4,「内申点では毎年10UPの生徒がでる」と記載(反町・三ツ沢・西谷・小机の教室),未着手
KNGA-007,kanagawa,アスク青山アカデミー,,form,https://www.ask-aoyama.com/mail_from.html,https://www.ask-aoyama.com/mail_from.html,無,有,,冬期講習の案内があり、地元中学の中間・期末テスト対策を掲げる(川崎区・鶴見区),未着手
KNGA-008,kanagawa,進学教室セラビ,,form,https://juku-cestlavie.jimdofree.com/お問い合わせ/,https://juku-cestlavie.jimdofree.com/お問い合わせ/,無,有,,「特色検査のある公立高校を受検希望の方は別途コースあり」と記載(鶴見区生麦)。メールはメール保護で読めないためフォーム,未着手
KNGA-009,kanagawa,港北学館,,form,http://kohokugakkan.com/お問い合わせメールフォーム/,http://kohokugakkan.com/お問い合わせメールフォーム/,無,有,2,中学部の指導方針ページがあり内申に関する記述が多い個人塾(篠原校・樽町校),未着手
KNGA-010,kanagawa,陵光ゼミナール,株式会社クラヤ・エデュケーション,form,https://kuraya-edu.co.jp/contact/,https://kuraya-edu.co.jp/contact/,無,有,,「劇的に伸びる内申点」の見出しがある(旭区・鶴ヶ峰駅近く)。フォームの学年選択に中学1〜3年がある,未着手
